return-average,return-min,return-max,return-std,episode-length-avg,episode-length-min,episode-length-max,episode-length-std,AverageProgress,MaxProgress,MinProgress,StdProgress,AverageTimeInGoal,MaxTimeInGoal,MinTimeInGoal,StdTimeInGoal,MeanBeginGoalDistance,StdBeginGoalDistance,MinBeginGoalDistance,MaxBeginGoalDistance,MeanFinalGoalDistance,StdFinalGoalDistance,MinFinalGoalDistance,MaxFinalGoalDistance,MeanProgressTowardsGoal,StdProgressTowardsGoal,MinProgressTowardsGoal,MaxProgressTowardsGoal,qf1-avg,qf1-std,qf2-avg,qf2-std,mean-qf-diff,vf-avg,vf-std,mean-sq-bellman-error1,mean-sq-bellman-error2,time-train,time-eval,time-sample,time-total,epoch,pool-size,max-path-return,last-path-return,episodes,total-samples
-2726.792035751014,-2726.792035751014,-2726.792035751014,0.0,1000.0,1000,1000,0.0,3.588174955173541,3.588174955173541,3.588174955173541,0.0,0.0,0,0,0.0,12.0,0.0,12.0,12.0,8.420263227491102,0.0,8.420263227491102,8.420263227491102,3.579736772508898,0.0,3.579736772508898,3.579736772508898,-0.9308602,0.519593,-0.9308602,0.519593,0.80511224,0.04864802,0.44251716,45.53887,51.41487,0.19675261199881788,0,9.373454013999435,29.814314944000216,0,1000,[-2235.09064139],[-2235.09064139],1,1000
-2137.6384745092164,-2137.6384745092164,-2137.6384745092164,0.0,1000.0,1000,1000,0.0,0.7363382004880947,0.7363382004880947,0.7363382004880947,0.0,0.0,0,0,0.0,8.48528137423857,0.0,8.48528137423857,8.48528137423857,8.540388049577697,0.0,8.540388049577697,8.540388049577697,-0.055106675339127165,0.0,-0.055106675339127165,-0.055106675339127165,-52.38995,4.545326,-52.38995,4.545326,0.4895572,-52.882446,5.5765295,0.62083405,0.6042516,15.304877386777662,0,10.333948110986967,72.2168038807431,1,2000,[-2036.25362753],[-2036.25362753],2,2000
-3159.4803952437323,-3159.4803952437323,-3159.4803952437323,0.0,1000.0,1000,1000,0.0,0.820613209654726,0.820613209654726,0.820613209654726,0.0,0.0,0,0,0.0,12.0,0.0,12.0,12.0,12.081056957927613,0.0,12.081056957927613,12.081056957927613,-0.08105695792761303,0.0,-0.08105695792761303,-0.08105695792761303,-100.26523,9.999005,-100.26523,9.999005,0.7020146,-100.24107,10.418696,0.9555463,0.82428724,15.319021963849082,16.766411347998655,10.339271795077366,114.78433084164863,2,3000,[-2036.25362753],[-2128.55517886],3,3000
-3201.484090939528,-3201.484090939528,-3201.484090939528,0.0,1000.0,1000,1000,0.0,0.6861322990416738,0.6861322990416738,0.6861322990416738,0.0,0.0,0,0,0.0,12.0,0.0,12.0,12.0,11.598173211797272,0.0,11.598173211797272,11.598173211797272,0.40182678820272777,0.0,0.40182678820272777,0.40182678820272777,-148.7042,14.147546,-148.7042,14.147546,0.8846283,-148.60197,14.8034525,1.1595391,1.1200383,15.484506367356516,16.909048848989187,10.513478775086696,157.7045071640896,3,4000,[-2036.25362753],[-2041.44552617],4,4000
-3352.8391899344806,-3352.8391899344806,-3352.8391899344806,0.0,1000.0,1000,1000,0.0,0.4254773336973622,0.4254773336973622,0.4254773336973622,0.0,0.0,0,0,0.0,12.0,0.0,12.0,12.0,11.909638003428208,0.0,11.909638003428208,11.909638003428208,0.09036199657179189,0.0,0.09036199657179189,0.09036199657179189,-217.82428,44.44162,-217.82428,44.44162,1.08856,-218.38788,44.637672,1.553133,1.392776,15.459329236065969,16.923140644998057,10.50142471898289,200.51626616716385,4,5000,[-2036.25362753],[-3098.54449355],5,5000
-2192.082271886209,-2192.082271886209,-2192.082271886209,0.0,1000.0,1000,1000,0.0,0.34079542156708187,0.34079542156708187,0.34079542156708187,0.0,0.0,0,0,0.0,8.48528137423857,0.0,8.48528137423857,8.48528137423857,8.181617160865974,0.0,8.181617160865974,8.181617160865974,0.3036642133725955,0.0,0.3036642133725955,0.3036642133725955,-261.22943,51.937298,-261.22943,51.937298,1.5137396,-262.37582,51.701046,2.8804085,2.607586,15.399552403818234,16.858929038004135,10.422429188140086,243.18961278809002,5,6000,[-2036.25362753],[-2105.90268743],6,6000
-3321.0480252720267,-3321.0480252720267,-3321.0480252720267,0.0,1000.0,1000,1000,0.0,0.8712819498825601,0.8712819498825601,0.8712819498825601,0.0,0.0,0,0,0.0,12.0,0.0,12.0,12.0,12.295727498000858,0.0,12.295727498000858,12.295727498000858,-0.29572749800085774,0.0,-0.29572749800085774,-0.29572749800085774,-295.0952,59.658066,-295.0952,59.658066,1.7440689,-295.5998,59.99203,3.461692,3.712387,15.612670654285466,16.84951876399282,10.719037236412987,286.41731152680586,6,7000,[-1456.95486928],[-1456.95486928],7,7000
-2013.9678890717453,-2013.9678890717453,-2013.9678890717453,0.0,1000.0,1000,1000,0.0,0.7998692384206684,0.7998692384206684,0.7998692384206684,0.0,0.0,0,0,0.0,8.48528137423857,0.0,8.48528137423857,8.48528137423857,8.707421349002566,0.0,8.707421349002566,8.707421349002566,-0.22213997476399605,0.0,-0.22213997476399605,-0.22213997476399605,-332.1894,64.63478,-332.1894,64.63478,1.7318572,-331.6316,65.03894,4.4051514,4.2762647,15.560357347916579,16.894449387997156,10.62005984703137,329.35011396773916,7,8000,[-1456.95486928],[-1870.80271004],8,8000
-2059.552081024908,-2059.552081024908,-2059.552081024908,0.0,1000.0,1000,1000,0.0,4.602613061801906,4.602613061801906,4.602613061801906,0.0,0.0,0,0,0.0,8.48528137423857,0.0,8.48528137423857,8.48528137423857,7.407044280516695,0.0,7.407044280516695,7.407044280516695,1.0782370937218744,0.0,1.0782370937218744,1.0782370937218744,-362.5443,69.22306,-362.5443,69.22306,1.8481661,-365.1942,69.13067,3.9893985,3.3211474,15.370401238804334,16.75202496199927,10.342240688041784,371.7336844866077,8,9000,[-1456.95486928],[-1985.7436033],9,9000
-3358.187610370411,-3358.187610370411,-3358.187610370411,0.0,1000.0,1000,1000,0.0,0.6432016128412066,0.6432016128412066,0.6432016128412066,0.0,0.0,0,0,0.0,12.0,0.0,12.0,12.0,12.360517565241317,0.0,12.360517565241317,12.360517565241317,-0.3605175652413166,0.0,-0.3605175652413166,-0.3605175652413166,-422.4414,92.713875,-422.4414,92.713875,1.8325856,-422.29663,92.25509,4.4170747,3.8362694,15.372551838052459,16.67363598900556,10.436781284690369,414.228148014372,9,10000,[-1456.95486928],[-3050.09867266],10,10000
-2237.1967694937694,-2237.1967694937694,-2237.1967694937694,0.0,1000.0,1000,1000,0.0,0.19346320294017783,0.19346320294017783,0.19346320294017783,0.0,0.0,0,0,0.0,8.48528137423857,0.0,8.48528137423857,8.48528137423857,8.552123298885636,0.0,8.552123298885636,8.552123298885636,-0.06684192464706662,0.0,-0.06684192464706662,-0.06684192464706662,-468.69116,98.743866,-468.69116,98.743866,2.1391528,-470.0899,98.85623,4.871244,4.9811783,14.914425392897101,16.682901595006115,14.193743904936127,460.1030313902156,10,11000,[-1456.95486928],[-3309.66729816],11,11000
-2075.2540767236983,-2075.2540767236983,-2075.2540767236983,0.0,1000.0,1000,1000,0.0,0.7044217860200654,0.7044217860200654,0.7044217860200654,0.0,0.0,0,0,0.0,8.48528137423857,0.0,8.48528137423857,8.48528137423857,8.183653548155085,0.0,8.183653548155085,8.183653548155085,0.30162782608348415,0.0,0.30162782608348415,0.30162782608348415,-509.7016,109.47843,-509.7016,109.47843,2.1873932,-511.6726,109.72534,3.898493,3.6734025,15.076914090910577,16.768645597010618,14.169114137126599,506.3728956142295,11,12000,[-1456.95486928],[-2307.34243671],12,12000
